DATES,Venus sha_offsetSHA,Venus ecliptic_lat,Mars sha_offsetSHA,Mars ecliptic_lat,Jupiter sha_offsetSHA,Jupiter ecliptic_lat,Saturn sha_offsetSHA,Saturn ecliptic_lat,Sun sha_offsetSHA,Sun ecliptic_lat,Moon sha_offsetSHA,Moon ecliptic_lat,Mercury sha_offsetSHA,Mercury ecliptic_lat,Mercury Magnitude,Venus Magnitude,Jupiter Magnitude
12/1/2020,43.584987772842155,1.7027376404965562,247.63923176485946,-0.03984993345165666,325.13384064876084,-0.5065402394747167,322.7814660936601,-0.4015808136148884,15.81802710577638,-0.034951531803006475,188.5890815234352,-0.32992454052704545,26.768252448884354,0.5366269502385741,-0.7454027990460631,-3.9114452291055413,-2.0305268753966694
12/8/2020,34.98614979891941,1.518164284549922,246.18709895536654,0.2549077371316253,323.65405421123376,-0.5119800953824765,322.08949480087006,-0.40756375982859083,8.204839869082733,-0.03593759588034473,94.16215419732906,5.746171687053362,15.440358054911329,-0.2946070501901268,-0.8514497399640303,-3.9068247753290297,-2.010765882808426
12/14/2020,27.424073668640673,1.3247444995425148,244.60141893274056,0.470688853804738,322.337869519968,-0.5170535225516346,321.46015714179714,-0.4128601789142188,1.5993964976461683,-0.03662805458999685,11.539856827748636,0.5953799133966058,5.3857906904705,-0.9339828915967843,-1.0514349043257631,-3.9044413554369606,-1.9962364046884118
12/23/2020,15.757328318229312,0.9906119154240685,241.7088301890292,0.7393101054760081,320.29522001265036,-0.5255997982942944,320.46303147273755,-0.4213403261802746,351.6206754508279,-0.037109883923335474,249.7608594862648,-5.273955362473497,349.80829911498745,-1.7050561181352748,-1.2807220008022637,-3.90331404857159,-1.978450960682864
12/31/2020,5.1045721525859875,0.6653426878769864,238.70174812826167,0.9309942824706727,318.42681259644496,-0.533961965893397,319.53466505813424,-0.42925499353649244,342.75706107666684,-0.03640097749121196,151.55269962267437,2.683473293727019,335.6527915977788,-2.1278793036796557,-1.0554188898966252,-3.904211795929432,-1.9664508064271224
1/6/2021,32.38281100949919,0.41176360997082284,271.61553807541725,1.0496816321558615,352.3963509157612,-0.5409434288883297,354.2138183822726,-0.4356260612350873,11.549883460334712,-0.035682375709079395,107.06696427935248,5.302943727037704,0.4550430104262375,-2.2081574132192365,-0.9936268038402252,-3.905732160226225,-1.9596667784709316
1/13/2021,22.842581378653136,0.11237402876446012,268.50493634998884,1.1644738591847474,350.71466868262155,-0.5497449807344985,353.3635676382032,-0.44338882765287835,3.9326163040832114,-0.0345965642423387,6.364612189785106,-2.7213757667010157,348.54837528540793,-1.9140356341706095,-0.9592042890542132,-3.9082371348308267,-1.9540739207513138
1/20/2021,13.309404646498734,-0.18460861551053043,265.1847797405155,1.2579127517423387,349.02169044003176,-0.5594167913708148,352.5041361748903,-0.4516969219194493,356.4432344938796,-0.032945198579525936,278.0638145068175,-4.745279475787611,338.11124981047465,-1.003924087355248,-0.7633280811923697,-3.9113417018423666,-1.9509330824455284
1/28/2021,2.5307360299333084,-0.5124454892183827,261.16591408415627,1.3425730179254831,347.0841576572278,-0.5714367368618696,351.5199027845231,-0.4616790062461966,348.07426574170245,-0.030010714946932637,177.53856675311644,3.360544137815207,330.99653336137885,0.9843012773638016,0.006376814365136152,-3.9151750779416505,-1.9502653127499894
2/4/2021,23.387580451050056,-0.781468771056165,287.5875380743149,1.399884686579842,15.50549585359984,-0.5828990998773484,20.774447607000653,-0.4710514038957001,11.038194725912163,-0.027178509950097407,114.26957826018933,3.626824366163204,2.8189311576005736,3.044085768829836,2.6049484703070473,-3.918381632057981,-1.9528295625857794
2/11/2021,14.348458157149437,-1.0250408198031273,283.7517959571488,1.4438004281318086,13.829523715401379,-0.5953649626429112,19.930592372735944,-0.4809500474440078,4.053117977856246,-0.02405528584301564,12.45570406718754,-4.34307261894773,10.419047879385928,3.8362860035419306,4.281364754792406,-3.921225738099764,-1.9578499328901955
2/19/2021,4.310973543379205,-1.2602392398519289,279.2017895336086,1.4808007619116879,11.940883487769284,-0.6108183913872836,18.989986004915252,-0.4929599377274876,356.25998455088944,-0.0195990152743164,278.6351566002942,-2.1574480173335324,15.899394203460545,2.6846730146834545,1.0891220517763363,-3.9237974077405324,-1.9665197560676333
2/27/2021,354.5814690315859,-1.4363569623531287,274.4940808722024,1.5060908420435446,10.091258361793976,-0.6276356002709225,18.08367761505521,-0.5057324862022803,348.6487027453421,-0.014456422474562913,171.10972387698394,5.28322167242292,13.857679724087873,0.91965673847033,0.3999582370304484,-3.925194716518672,-1.9783660519699036
3/6/2021,194.2748548995437,-1.532858763158881,118.24662721410198,1.5199190084300973,216.49827683961973,-0.6435672943853721,225.31147442234902,-0.5175460284734861,190.09437499459085,-0.009974635787655117,283.335390965991,0.011580492331930259,215.93449781097684,-0.4419161962590916,0.22446041833653396,-3.9250775281150108,-1.9914095650480057
3/13/2021,186.1440996015507,-1.5696000969893928,113.9157469786777,1.527628070388932,214.96387556722425,-0.6607406247271488,224.59267757604977,-0.5300431535711887,183.63549932393937,-0.005320676299769733,186.25743512782248,-5.436351405659557,207.91772542808854,-1.4990185689015956,0.09735825738240633,-3.92355722044283,-2.007089014929682
3/21/2021,176.98567897317702,-1.5350767319208294,108.85893281731188,1.53050355527472,213.27473218877498,-0.6817499474960087,223.82727924710207,-0.5449653552234857,176.32086696561362,0.0005375723069502014,93.63671139375106,0.9364583985755885,197.292079235038,-2.2872958047964413,-0.09673814448431495,-3.920159555885319,-2.0284096234812217
3/28/2021,169.02596734369212,-1.4393586492159514,104.35570001319365,1.5288514565531521,211.8610555193651,-0.7015915887213566,223.2126066701539,-0.5587619025501738,169.9492587158561,0.005585952289183016,357.9373157258457,5.352678699411571,187.13260250985257,-2.5680413064567595,-0.3553650072611203,-3.9169420804204904,-2.050162348457543
4/4/2021,8.333473493588826,-1.2873345077264,307.07406856269404,1.5237087812248973,57.79494671834203,-0.7227655528883741,69.93515540282954,-0.5731009561956171,10.852621112572763,0.01012245552142943,104.04438286302195,-2.331106018801144,23.514587333321174,-2.4214053430658966,-0.7322192554513862,-3.9139128882651018,-2.0749346508047255
4/12/2021,359.12733771166927,-1.0540266874764672,301.80011696593067,1.51492744323453,56.34720856683106,-0.7487299076985359,69.3730449508717,-0.5902767891590521,3.5182341345885675,0.015253041663511269,3.1159594885625665,-4.244252526030732,9.962742030363643,-1.6931796106471966,-1.37311714989814,-3.9089819662344447,-2.1071598231742894
4/20/2021,349.74576983950305,-0.7710407297015642,296.47920142610576,1.50366232607173,55.00891268645472,-0.7764682632498587,68.89865225026762,-0.6080538640869371,356.10279252445275,0.02024293667706445,264.57447986004865,3.7974521055647976,354.9479856057253,-0.4237254139450215,-2.199302871589309,-3.9025634341534574,-2.143736886605716
4/27/2021,341.3428242727829,-0.49545523919755574,291.8028181528481,1.4921132475712078,53.93689849732448,-0.8024057544251235,68.56019431977023,-0.6242164904790073,349.5263522283858,0.023959586437161562,170.50814055323156,3.2383052727606074,340.8250253181185,0.8884388068676081,-1.4850795422370655,-3.8960199094005743,-2.1793768290563347
5/3/2021,1.6910513516672836,-0.2471128237739606,315.51034072461283,1.4809840716935376,80.8177557124722,-0.8258179264876997,96.04989060487407,-0.638381965746845,11.529384350186604,0.026554193243269353,106.04158560432302,-4.247625118125438,356.602148175125,1.8496701671514266,-0.912635532845604,-3.8899486669639893,-2.212653747471837
5/11/2021,351.60083342852835,0.09047386125899948,310.16305441879746,1.464993249154464,79.82132312982168,-0.8586944283218862,95.83037193674039,-0.6576936789291068,3.7739264469598197,0.029875834061662943,11.552381678408665,-2.634588582722296,342.7538325619593,2.500394711267944,-0.13528271355146737,-3.881727694609751,-2.2609588145828177
5/19/2021,341.2303431914775,0.4233936297644547,304.83406265197067,1.4476249904432095,78.97778611981465,-0.8933597431979674,95.7146235876433,-0.6772851964693203,355.8659477443094,0.032749259603054526,269.2440272786375,5.186686869133435,332.86816457357685,2.217802754128609,0.575905054791825,-3.8740146589036457,-2.313594167599235
5/26/2021,331.9738581654852,0.7020914650555525,300.2005154711613,1.4310867015152553,78.3743628396208,-0.925155225109549,95.69939502345647,-0.6945979286988155,348.8307414585442,0.034429677597138664,175.52871968048333,1.136806827059246,328.3344974391575,1.1463613957158962,1.4421710545570008,-3.8681036861970326,-2.362883676402465
6/2/2021,352.81424167108605,0.9626556863258209,325.80477427567666,1.4132866528082992,108.10509862807749,-0.9581363699505978,125.96515532238664,-0.7119389855187954,11.899857618769829,0.035615381238496724,100.34520300976811,-5.728418248249787,358.1720154037291,-0.6008415552638944,3.0616014468607737,-3.863300511398432,-2.4147993460352817
6/10/2021,342.08822283324105,1.23084401144515,320.60004065845544,1.391347641562355,107.73861732190386,-0.9968376737034017,126.13387900993962,-0.7314648842061935,3.651492262872864,0.036778489999960584,9.04264891575275,0.37224551900508374,1.7161251992409916,-2.8495611858056975,6.084679470165229,-3.859760377907506,-2.4766762210010875
6/18/2021,331.4587864001951,1.4581297574552323,315.4547728714805,1.367461079517021,107.56342292623748,-1.0363421254065361,126.39967536981499,-0.7506167487502111,355.34334937982476,0.03745179240963026,264.68417645722263,5.571203142073012,5.757071336263948,-4.28369840419478,3.7530076497072513,-3.858921227181881,-2.5401340251603606
6/24/2021,323.6243170815725,1.594646386335139,311.63944702723165,1.3478458070920638,107.55994652082205,-1.0661246096733645,126.6580282560522,-0.7645010558290899,349.1053007385326,0.03722612849356821,180.99997386737607,-1.058915961309097,6.606329766506292,-4.422039630939942,1.9709121846877813,-3.860314133340394,-2.587851261782046
7/1/2021,348.675607818573,1.7095347148554367,341.2223657959979,1.3232528748340897,141.68053128924365,-1.1006209652761605,161.00311340627965,-0.7801553043106253,15.834346233440186,0.0367982977878647,114.72991214621933,-5.39892717863481,38.00563834689828,-3.7081721134820427,0.7839651619944541,-3.8643122247567123,-2.6425795994960013
7/10/2021,337.5644832419099,1.7730619295180112,335.6333724236897,1.2885035857276321,142.07026126789648,-1.1434578285463406,161.54422468911125,-0.7988798987162511,6.580062988451147,0.03593088376085518,6.786251051672906,3.186040723744444,28.770771946120618,-1.9833623401946916,-0.17155541101239402,-3.873737924408772,-2.7093478961013098
